"ID","start","end","Intro_camp_label","pop_groups","X_Final_04_longitude","X_Final_04_latitude","drinking_water_source","drinking_water_location","electicity_or_light_source_most_used","main_toilet_facility","cooking_at_hh_level","hh_cooking_source","hh_cooking_fuel","land_ownership","landownership_legal_docs","Improved_dw","Improved_dw_final","electricity","shared_san_facility","Improved_san","crowding_cat","Clean_cookingfuel","time_to_access_water_min","number_of_hhmembers","lat","lon","interviewdate","id","living_conditions_score","living_conditions_category"
336,"2023-10-05","2023-10-05","Kaya","refugee",33.5907995,10.1038476,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,0,0,0,3,10.1038476,33.5907995,"2023-10-05",336,3,"Good"
337,"2023-04-27","2023-04-27","Ajuong Thok","refugee",30.2804485,9.9758605,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Build stove with bricks and/or mud","Wood","Unrelated Person","Yes",1,0,0,0,0,1,0,120,4,9.9758605,30.2804485,"2023-04-27",337,2,"Good"
338,"2023-07-11","2023-07-11","Yusuf Batil","refugee",33.5729381,9.9769225,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","Yes",1,0,0,0,0,0,0,300,2,9.9769225,33.5729381,"2023-07-11",338,1,"Poor"
339,"2023-08-24","2023-08-24","Yusuf Batil","refugee",33.5794605,9.9824475,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,0,0,0,2,9.9824475,33.5794605,"2023-08-24",339,2,"Good"
340,"2023-08-14","2023-08-14","Ajuong Thok","host community member",30.2635041,9.8770866,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,1058,7,9.8770866,30.2635041,"2023-08-14",340,2,"Good"
341,"2023-10-13","2023-10-13","Source Yubu","refugee",27.2555084,5.3901809,"Unprotected Dug Well","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,1,0,0,60,6,5.3901809,27.2555084,"2023-10-13",341,1,"Poor"
342,"2023-07-13","2023-07-13","Yusuf Batil","refugee",33.5721508,9.9615248,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,900,9,9.9615248,33.5721508,"2023-07-13",342,3,"Good"
343,"2023-11-07","2023-11-07","GOROM","refugee",31.4416779,4.7585162,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,240,7,4.7585162,31.4416779,"2023-11-07",343,2,"Good"
344,"2023-06-13","2023-06-13","Ajuong Thok","host community member",30.2724348,9.9511997,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,0,0,60,4,9.9511997,30.2724348,"2023-06-13",344,1,"Poor"
345,"2023-04-29","2023-04-29","Doro","host community member",33.8233111,9.9444249,"Unprotected Spring","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,0,0,0,25,5,9.9444249,33.8233111,"2023-04-29",345,0,"Poor"
346,"2023-04-24","2023-04-24","Doro","refugee",33.7566405,9.9898152,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Unrelated Person","No",1,0,0,0,0,1,0,90,11,9.9898152,33.7566405,"2023-04-24",346,2,"Good"
347,"2023-05-06","2023-05-06","Ajuong Thok","refugee",30.2749163,9.9735399,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","No appliances in the household","Three stone stove/open fire","Woodchips","Respondent or another HH member","Yes",1,0,0,0,1,1,0,1178,4,9.9735399,30.2749163,"2023-05-06",347,3,"Good"
348,"2023-07-29","2023-07-29","Doro","refugee",33.7630341,9.9932676,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,1,0,0,8,9.9932676,33.7630341,"2023-07-29",348,3,"Good"
349,"2023-05-03","2023-05-03","Doro","host community member",33.8199925,9.9473319,"Unprotected Spring","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,0,0,0,30,3,9.9473319,33.8199925,"2023-05-03",349,0,"Poor"
350,"2023-08-09","2023-08-09","Doro","refugee",33.7489226,9.9937504,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,0,0,0,2,9.9937504,33.7489226,"2023-08-09",350,2,"Good"
351,"2023-08-04","2023-08-04","Doro","refugee",33.7592394,9.9949382,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,59890,2,9.9949382,33.7592394,"2023-08-04",351,2,"Good"
352,"2023-08-04","2023-08-04","Ajuong Thok","host community member",30.2874719,9.9388567,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,0,0,30,6,9.9388567,30.2874719,"2023-08-04",352,1,"Poor"
353,"2023-08-14","2023-08-14","Gendrassa","refugee",33.6100086,9.9795366,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Moveable firepan","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,1200,13,9.9795366,33.6100086,"2023-08-14",353,3,"Good"
354,"2023-05-18","2023-05-18","Doro","refugee",33.737156,9.9855088,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59890,6,9.9855088,33.737156,"2023-05-18",354,2,"Good"
355,"2023-05-06","2023-05-06","MAKPANDU","refugee",28.6992885,4.7578797,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","No","0","0","Respondent or another HH member","Yes",1,0,0,1,0,0,0,240,4,4.7578797,28.6992885,"2023-05-06",355,1,"Poor"
356,"2023-04-19","2023-04-19","Pochalla","refugee",34.0966772,7.1777386,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,60,8,7.1777386,34.0966772,"2023-04-19",356,2,"Good"
357,"2023-08-18","2023-08-18","Yida","host community member",29.9800007,9.9176002,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,1,1,0,59925,10,9.9176002,29.9800007,"2023-08-18",357,3,"Good"
358,"2023-07-08","2023-07-08","Yusuf Batil","refugee",33.5711202,9.9778174,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,59890,3,9.9778174,33.5711202,"2023-07-08",358,2,"Good"
359,"2023-07-11","2023-07-11","Yusuf Batil","refugee",33.5722548,9.9783695,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59881,8,9.9783695,33.5722548,"2023-07-11",359,2,"Good"
360,"2023-06-21","2023-06-23","MAKPANDU","refugee",28.6977006,4.7534581,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,1,1,1,0,40,7,4.7534581,28.6977006,"2023-06-21",360,3,"Good"
361,"2023-05-01","2023-05-01","MAKPANDU","refugee",28.3933199,4.5698049,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,0,0,59900,1,4.5698049,28.3933199,"2023-05-01",361,2,"Good"
362,"2023-06-12","2023-06-12","Yida","host community member",29.9761263,9.9200126,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","No",1,0,0,0,0,1,0,35,7,9.9200126,29.9761263,"2023-06-12",362,2,"Good"
363,"2023-07-27","2023-07-27","Doro","refugee",33.7641315,10.007619,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59883,9,10.007619,33.7641315,"2023-07-27",363,1,"Poor"
364,"2023-08-08","2023-08-08","Doro","refugee",33.7708748,10.0130122,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59890,2,10.0130122,33.7708748,"2023-08-08",364,1,"Poor"
365,"2023-08-24","2023-08-24","Yusuf Batil","refugee",33.5637936,9.9627207,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59885,8,9.9627207,33.5637936,"2023-08-24",365,2,"Good"
366,"2023-06-15","2023-06-15","Yida","host community member",29.9815312,9.9197127,"Public Tap/Standpipe","Elsewhere","Dry cell battery / torch","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","refuse to answer",1,0,0,0,0,1,0,35,7,9.9197127,29.9815312,"2023-06-15",366,2,"Good"
367,"2023-11-10","2023-11-10","GOROM","refugee",31.443978,4.7579002,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,0,0,240,3,4.7579002,31.443978,"2023-11-10",367,2,"Good"
368,"2023-07-21","2023-07-21","Doro","host community member",33.8785458,9.9852232,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,0,0,120,9,9.9852232,33.8785458,"2023-07-21",368,1,"Poor"
369,"2023-09-04","2023-09-04","Kaya","host community member",33.54993,10.0790177,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,120,10,10.0790177,33.54993,"2023-09-04",369,2,"Good"
370,"2023-08-02","2023-08-02","Ajuong Thok","host community member",30.2945755,9.9308283,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,1,0,0,90,9,9.9308283,30.2945755,"2023-08-02",370,2,"Good"
371,"2023-08-25","2023-08-25","Yusuf Batil","refugee",33.5791141,9.9800701,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,0,0,1200,8,9.9800701,33.5791141,"2023-08-25",371,2,"Good"
372,"2023-04-27","2023-04-27","Doro","host community member",33.8846246,9.9840128,"Protected Spring","Elsewhere","No electricity in household","No facility/bush/field","No","0","0","Unrelated Person","Yes",1,0,0,0,0,0,0,1298,9,9.9840128,33.8846246,"2023-04-27",372,1,"Poor"
373,"2023-06-26","2023-06-29","MAKPANDU","refugee",28.3830982,4.5725535,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Respondent or another HH member","Yes",1,0,0,1,1,1,0,35,9,4.5725535,28.3830982,"2023-06-26",373,3,"Good"
374,"2023-05-31","2023-05-31","Ajuong Thok","refugee",30.2734384,9.9642963,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,1,0,900,5,9.9642963,30.2734384,"2023-05-31",374,2,"Good"
375,"2023-07-24","2023-07-24","Doro","host community member",33.7234508,9.9595318,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Moveable firepan","Coal/lignite unprocessed","Respondent or another HH member","Yes",1,0,0,0,0,0,0,60,6,9.9595318,33.7234508,"2023-07-24",375,1,"Poor"
376,"2023-07-29","2023-07-29","Pamir","refugee",30.3544518,9.905379,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,0,0,3,5,9.905379,30.3544518,"2023-07-29",376,3,"Good"
377,"2023-06-01","2023-06-01","Yusuf Batil","refugee",33.5851717,9.9798145,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,1,1,1,0,240,4,9.9798145,33.5851717,"2023-06-01",377,3,"Good"
378,"2023-04-29","2023-04-29","Ajuong Thok","host community member",30.285352,9.9274996,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,30,9,9.9274996,30.285352,"2023-04-29",378,2,"Good"
379,"2023-08-01","2023-08-01","Pamir","refugee",30.3504213,9.9065462,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,0,0,5,6,9.9065462,30.3504213,"2023-08-01",379,3,"Good"
380,"2023-06-09","2023-06-09","Yida","host community member",29.9637534,9.9388392,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,1,0,90,13,9.9388392,29.9637534,"2023-06-09",380,2,"Good"
381,"2023-04-25","2023-04-25","Ajuong Thok","host community member",30.2894587,9.937192,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,1,1,0,90,17,9.937192,30.2894587,"2023-04-25",381,3,"Good"
382,"2023-05-18","2023-05-19","MAKPANDU","refugee",28.702057,4.7512878,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Other, specify","Unrelated Person","No",1,1,0,1,1,0,0,2,6,4.7512878,28.702057,"2023-05-18",382,3,"Good"
383,"2023-09-02","2023-09-02","Doro","host community member",33.7223991,9.9615071,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,0,1,0,120,10,9.9615071,33.7223991,"2023-09-02",383,2,"Good"
384,"2023-08-18","2023-08-18","EZO","refugee",27.4748943,5.0680062,"Surface Water (River, Stream, Pond, Dam, Canal)","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,1,0,0,0,50,6,5.0680062,27.4748943,"2023-08-18",384,0,"Poor"
385,"2023-09-19","2023-09-19","Pamir","refugee",30.3736386,9.908503,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","No",1,1,0,1,0,1,0,8,7,9.908503,30.3736386,"2023-09-19",385,3,"Good"
386,"2023-05-08","2023-05-09","MAKPANDU","refugee",28.6964973,4.7495794,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","No",1,0,0,0,0,0,0,30,2,4.7495794,28.6964973,"2023-05-08",386,1,"Poor"
387,"2023-09-29","2023-09-29","Source Yubu","refugee",27.2610107,5.3962147,"Surface Water (River, Stream, Pond, Dam, Canal)","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,0,0,0,0,30,3,5.3962147,27.2610107,"2023-09-29",387,0,"Poor"
388,"2023-08-31","2023-08-31","Andari","refugee",27.7275838,4.9505764,"Unprotected Dug Well","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",0,0,0,0,1,0,0,30,6,4.9505764,27.7275838,"2023-08-31",388,1,"Poor"
389,"2023-07-06","2023-07-06","Pamir","refugee",30.3664806,9.9083675,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,1,1,1,0,5,9,9.9083675,30.3664806,"2023-07-06",389,4,"Good"
390,"2023-06-07","2023-06-07","Doro","host community member",33.7223994,9.9602164,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Moveable firepan","Coal/lignite unprocessed","Respondent or another HH member","Yes",1,0,0,0,1,0,0,1800,7,9.9602164,33.7223994,"2023-06-07",390,2,"Good"
391,"2023-04-24","2023-04-24","Doro","host community member",33.8978607,9.9452055,"Unprotected Spring","Elsewhere","No electricity in household","No facility/bush/field","No","0","0","Unrelated Person","No",0,0,0,0,0,0,0,3601,5,9.9452055,33.8978607,"2023-04-24",391,0,"Poor"
392,"2023-07-22","2023-07-22","Pamir","refugee",30.3488998,9.903097,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,1058,8,9.903097,30.3488998,"2023-07-22",392,3,"Good"
393,"2023-07-01","2023-07-01","Kaya","host community member",33.2307053,10.1432172,"Surface Water (River, Stream, Pond, Dam, Canal)","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,0,0,1,0,180,5,10.1432172,33.2307053,"2023-07-01",393,1,"Poor"
394,"2023-04-18","2023-04-18","Pochalla","refugee",34.0998083,7.1720295,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,0,0,0,6,7.1720295,34.0998083,"2023-04-18",394,2,"Good"
395,"2023-07-14","2023-07-14","Yusuf Batil","refugee",33.5706929,9.9618942,"Tube Well/Borehole","In Own Yard/Plot","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,1,1,0,0,8,9.9618942,33.5706929,"2023-07-14",395,4,"Good"
396,"2023-05-17","2023-05-17","Doro","refugee",33.7368081,9.991403,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,1,1,0,0,59885,5,9.991403,33.7368081,"2023-05-17",396,2,"Good"
397,"2023-06-01","2023-06-01","Ajuong Thok","refugee",30.2862985,9.9581843,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","Yes",1,0,0,0,0,0,0,1118,5,9.9581843,30.2862985,"2023-06-01",397,1,"Poor"
398,"2023-10-02","2023-10-02","Source Yubu","refugee",27.2575558,5.3813336,"Surface Water (River, Stream, Pond, Dam, Canal)","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",0,0,0,1,1,0,0,30,10,5.3813336,27.2575558,"2023-10-02",398,1,"Poor"
399,"2023-08-21","2023-08-21","Yusuf Batil","refugee",33.5747746,9.9655356,"Public Tap/Standpipe","In Own Yard/Plot","No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,1,0,0,1,0,0,0,9,9.9655356,33.5747746,"2023-08-21",399,3,"Good"
400,"2023-04-14","2023-04-14","Pamir","host community member",30.2925002,9.932519,"Public Tap/Standpipe","Elsewhere","No electricity in household","Other (Specify)","No appliances in the household","Build stove with bricks and/or mud","Woodchips","Unrelated Person","Yes",1,0,0,1,0,1,0,1598,7,9.932519,30.2925002,"2023-04-14",400,2,"Good"
401,"2023-05-13","2023-05-13","Yusuf Batil","host community member",33.5648836,9.8079309,"Tube Well/Borehole","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,1,0,0,0,1,0,5,5,9.8079309,33.5648836,"2023-05-13",401,3,"Good"
402,"2023-05-26","2023-05-26","Yusuf Batil","refugee",33.5869632,9.9858419,"Piped Into Yard/Plot",NA,"No electricity in household","Ventilated improved pit latrine","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,1,1,0,0,0,3,9.9858419,33.5869632,"2023-05-26",402,3,"Good"
403,"2023-05-19","2023-05-19","Yida","refugee",30.0951788,10.1035185,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,0,0,0,1,0,0,1801,8,10.1035185,30.0951788,"2023-05-19",403,2,"Good"
404,"2023-08-02","2023-08-02","Ajuong Thok","host community member",30.2870886,9.939073,"Public Tap/Standpipe","Elsewhere","Dry cell battery / torch","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,1,1,0,0,35,9,9.939073,30.2870886,"2023-08-02",404,2,"Good"
405,"2023-07-01","2023-07-01","Pamir","refugee",30.3677566,9.908053,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","No appliances in the household","Three stone stove/open fire","Agricultural or crop residue/grass/ straw/ shrubs/ corn cobs","Unrelated Person","No",1,0,0,0,1,1,0,1178,7,9.908053,30.3677566,"2023-07-01",405,3,"Good"
407,"2023-07-17","2023-07-17","Pamir","refugee",30.3551122,9.9035288,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,0,0,3,3,9.9035288,30.3551122,"2023-07-17",407,2,"Good"
408,"2023-06-16","2023-06-16","Kaya","refugee",33.5861583,10.1078304,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,0,0,59884,6,10.1078304,33.5861583,"2023-06-16",408,1,"Poor"
409,"2023-09-19","2023-09-19","Pamir","refugee",30.3475209,9.9087718,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","Yes",1,1,0,0,0,1,0,5,7,9.9087718,30.3475209,"2023-09-19",409,3,"Good"
410,"2023-08-21","2023-08-21","Yusuf Batil","refugee",33.5734969,9.9555158,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59910,12,9.9555158,33.5734969,"2023-08-21",410,2,"Good"
411,"2023-10-20","2023-10-20","Lasu","refugee",30.4349478,3.9399379,"Tube Well/Borehole","Elsewhere","No electricity in household","Flush/pour-flush to septic tank","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,900,5,3.9399379,30.4349478,"2023-10-20",411,2,"Good"
412,"2023-05-31","2023-05-31","Yusuf Batil","refugee",33.5849534,9.9876082,"Piped Into Yard/Plot",NA,"No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Unrelated Person","No",1,1,0,0,1,1,0,0,7,9.9876082,33.5849534,"2023-05-31",412,4,"Good"
413,"2023-05-22","2023-05-22","MAKPANDU","refugee",28.6980787,4.7590376,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Unrelated Person","No",1,0,0,1,0,1,0,180,10,4.7590376,28.6980787,"2023-05-22",413,2,"Good"
414,"2023-04-27","2023-04-27","Ajuong Thok","host community member",30.2851488,9.9341797,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,1,0,0,0,60,1,9.9341797,30.2851488,"2023-04-27",414,1,"Poor"
415,"2023-07-07","2023-07-07","Gendrassa","refugee",33.6089081,9.9800891,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,0,1,0,60,9,9.9800891,33.6089081,"2023-07-07",415,2,"Good"
416,"2023-06-16","2023-06-16","Kaya","refugee",33.587343,10.1080652,"Public Tap/Standpipe","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,1,0,0,59910,8,10.1080652,33.587343,"2023-06-16",416,2,"Good"
417,"2023-06-07","2023-06-07","MAKPANDU","refugee",28.3901853,4.545392,"Unprotected Dug Well","Elsewhere","No electricity in household","Pit latrine with slab","Yes","Build stove with bricks and/or mud","Charcoal unprocessed","Unrelated Person","Yes",0,0,0,0,1,0,0,30,7,4.545392,28.3901853,"2023-06-07",417,1,"Poor"
418,"2023-04-26","2023-04-26","Doro","refugee",33.7531376,9.9974659,"Public Tap/Standpipe","Elsewhere","No electricity in household","Flush/pour-flush to pit latrine","Yes","Build stove with bricks and/or mud","Coal/lignite unprocessed","Unrelated Person","No",1,0,0,0,1,0,0,2798,9,9.9974659,33.7531376,"2023-04-26",418,2,"Good"
419,"2023-08-10","2023-08-10","Ajuong Thok","host community member",30.2946793,9.9313248,"Public Tap/Standpipe","Elsewhere","Dry cell battery / torch","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Respondent or another HH member","Yes",1,0,0,0,0,0,0,45,9,9.9313248,30.2946793,"2023-08-10",419,1,"Poor"
420,"2023-08-23","2023-08-23","Yusuf Batil","refugee",33.5726315,9.9717578,"Public Tap/Standpipe","Elsewhere","No electricity in household","No facility/bush/field","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,0,0,0,0,1,0,59884,12,9.9717578,33.5726315,"2023-08-23",420,2,"Good"
421,"2023-07-18","2023-07-18","Doro","host community member",33.7352462,9.9671574,"Tube Well/Borehole","Elsewhere","No electricity in household","Pit latrine without slab/open pit","Yes","Three stone stove/open fire","Wood","Unrelated Person","No",1,1,0,0,0,0,0,10,4,9.9671574,33.7352462,"2023-07-18",421,2,"Good"
422,"2023-07-24","2023-07-24","Pamir","refugee",30.3473474,9.9010175,"Public Tap/Standpipe","Elsewhere","No electricity in household","Ventilated improved pit latrine","Yes","Moveable firepan","Coal/lignite unprocessed","Unrelated Person","Yes",1,0,0,0,1,1,0,300,6,9.9010175,30.3473474,"2023-07-24",422,3,"Good"
